Key,Issue Type,Summary,Status,Created,Backlog,Cancelled,Code Review,Completed,Deployed to production,Done,Draft,In Development,In preprod testing,In Progress,In team environment testing,Open,PAUSED,Peer Review,Ready For Development,Ready for preprod testing,Ready for refinement,Ready For Release,Ready for sign-off,Ready for team environment testing,Ready for testing,Ready to deploy to production,Refinement,Refinement Ready,Released,Researching,Review Ready,Signed off,Sprint ready,Testing,To Do,TODO,Will Not Implement
EPA-83888,Story,Implement Automated Test Coverage,To Do,2025-05-02 21:13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 27m,-,-
EPA-24453,Epic,Setup Epic Analyzer Project Structure,To Do,2025-05-02 21:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2h 30m,-,-
EPA-12224,Bug,Enhance Epic Analyzer Module,To Do,2025-05-02 16:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7h 6m,-,-
EPA-12193,Sub-task,Implement Automated Test Coverage,Completed,2025-05-02 12:00,-,-,-,8h 5m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3h 36m,0m,-,-
EPA-21719,Technical Story,Configure SLA Review Template,To Do,2025-05-02 11:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11h 43m,-,-
EPA-16095,Story,Enhance Epic Analyzer Module,Signed off,2025-05-02 10:33,-,-,-,-,-,-,-,1h 16m,-,-,3h 35m,-,-,3m,-,-,-,-,38m,8m,-,-,-,-,-,-,-,7h 27m,-,-,0m,-,-
EPA-11162,Sub-task,Implement Automated Test Coverage,To Do,2025-05-02 09:24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 16m,-,-
EPA-30352,Sub-task,Implement Automated Test Coverage,To Do,2025-05-02 09:23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 17m,-,-
EPA-24643,Sub-task,Implement Automated Test Coverage,To Do,2025-05-02 09:21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14h 19m,-,-
EPA-13518,Sub-task,Implement Automated Test Coverage,In Progress,2025-05-02 09:21,-,-,-,-,-,-,-,-,-,14h 19m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-48460,Story,Enhance Epic Analyzer Module,To Do,2025-05-01 14:25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 9h 15m,-,-
EPA-29591,Epic,Setup Epic Analyzer Project Structure,To Do,2025-05-01 03:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 20h 6m,-,-
EPA-14641,Sub-task,Enhance Epic Analyzer Module,Completed,2025-04-30 14:03,-,-,-,2d 9h 37m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-24749,Automation,Implement Automated Test Coverage,In Progress,2025-04-30 12:28,-,-,-,-,-,-,-,-,-,2d 11h 9m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3m,-,-
EPA-69179,Sub-task,Implement Automated Test Coverage,Completed,2025-04-30 12:27,-,-,-,2d 11h 13m,-,-,-,-,-,0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-28525,Sub-task,Implement Automated Test Coverage,Completed,2025-04-30 11:15,-,-,-,11h 42m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 0h 43m,0m,-,-
EPA-11273,Task,Enhance Epic Analyzer Module,To Do,2025-04-30 11:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 37m,-,-
EPA-28240,Story,Enhance Epic Analyzer Module,Ready for refinement,2025-04-30 10:55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 45m,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-20415,Sub-task,Enhance Epic Analyzer Module,Completed,2025-04-29 13:45,-,-,-,2d 8h 46m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 1h 9m,-,-
EPA-31356,Sub-task,Enhance Epic Analyzer Module,Completed,2025-04-29 13:44,-,-,-,2d 13h 16m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20h 40m,-,-
EPA-14484,Sub-task,Implement Automated Test Coverage,Completed,2025-04-29 12:15,-,-,-,2d 12h 32m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22h 52m,0m,-,-
EPA-26663,Sub-task,Implement Automated Test Coverage,Completed,2025-04-29 09:40,-,-,-,3d 13h 45m,-,-,-,-,-,15m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0m,-,-
EPA-32452,Story,Enhance Epic Analyzer Module,Ready for refinement,2025-04-23 17:27,4d 19h 29m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 12h 34m,-,-,-,-,-,-,-,-,-,-,-,-,-,1d 22h 10m,-,-
EPA-32992,Sub-task,Implement Automated Test Coverage,Completed,2025-04-28 09:34,-,-,-,3d 11h 50m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19h 34m,6h 42m,-,-
EPA-19466,Sub-task,Implement Automated Test Coverage,Completed,2025-04-28 09:32,-,-,-,4d 7h 25m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6h 43m,0m,-,-
EPA-93856,Story,Enhance Epic Analyzer Module,Deployed to production,2025-04-25 15:21,-,-,-,-,2d 2h 17m,-,-,2d 21h 45m,-,-,22h 51m,-,-,5m,-,-,-,-,2h 56m,22h 16m,-,-,-,-,-,-,-,7h 20m,-,-,49m,-,-
EPA-15598,Bug,Configure SLA Review Template,Peer Review,2025-04-25 14:07,-,-,-,-,-,-,-,22h 31m,-,-,-,-,-,3d 13h 0m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2d 22h 2m,-,-
